title,cast,Rating,Genre,Original Language,Director,Producer,Writer,Release Date (Theaters),Release Date (Streaming),Box Office (Gross USA),Runtime,Distributor,Sound Mix,Aspect Ratio
My Name is Salt,,,Documentary,Gujarati,Farida Pacha,"Lutz Konermann , Farida Pacha",Farida Pacha,"Nov 24, 2013 original","Jan 1, 2017",,1h 32m,,,
Max Steel Turbo Warriors,", Andrew Francis, Sam Vincent, Adrian Petriw, Lili Beaudoin, Colin Murdock, Mark Oliver, Charles Zuckermann, Giles Panton",,"Kids & family, 
                        
                        Adventure, 
                        
                        Animation",English,,,,"Jul 29, 2017 limited","Feb 16, 2021",,44m,,,
Max Steel Team Turbo,,,"Kids & family, 
                        
                        Adventure, 
                        
                        Sci-fi, 
                        
                        Animation",English,Logan McPherson,,,,,,1h 4m,,,
Life with Murder,", Jennifer Jenkins",,Documentary,English,John Kastner,"John Kastner , Silva Basmajian , Deborah Parks",,,"May 10, 2011",,1h 35m,,,
Joan of Arc,", Lise Leplat Prudhomme, Annick Lavieville, Justine Herbez, Benoît Robail, Alain Desjacques, Serge Holvoet, Julien Manier, Jérôme Brimeux",,"History, 
                        
                        Drama",French (France),Bruno Dumont,"Rachid Bouchareb , Jean Bréhat , Muriel Merlin",Bruno Dumont,,"Nov 17, 2020",,2h 17m,,,Flat (1.85:1)
In Search of Mozart,", Juliet Stevenson, Renée Fleming, Lang Lang, Debbie Arnold, Sean Barrett, Louis Langrée",,"Documentary, 
                        
                        Music",English (United Kingdom),Phil Grabsky,,Phil Grabsky,,"May 31, 2011",,2h 8m,,,
Human Flow,", Ai Weiwei, Peter Bouckaert, Orlando Avis, Israa Abboud, Hiba Abed, Maya Ameratunga, Tanya Chapuisat, Sukriye Cetin",PG-13 (Thematic Material|A Disturbing Image),Documentary,English,Ai Weiwei,"Ai Weiwei , Chin-Chin Yap , Heino Deckert",,"Oct 13, 2017 limited","Jan 9, 2018",$520.6K,2h 20m,Amazon Studios,,
Hotel Coolgardie,,,Documentary,English (Australia),Pete Gleeson,"Melissa Hayward , Kate Neylon",,,"Aug 16, 2017",,1h 23m,,,
HEALTH,", Carol Burnett, Glenda Jackson, James Garner, Lauren Bacall, Dick Cavett, Paul Dooley, Henry Gibson, Donald Moffat, Alfre Woodard",PG,Comedy,English,Robert Altman,,,,,,1h 42m,,,Scope (2.35:1)
Girls In Chains,", Arline Judge, Roger Clark, Robin Raymond, Barbara Pepper, Dorothy Burgess, Clancy Cooper, Addison Randall, Patricia Knox, Sid Melton, Russell Gaige, Emmett Lynn, Richard Clarke, Betty Blythe, Peggy Stewart",,"Crime, 
                        
                        Drama",English,Edgar G. Ulmer,Peter Van Duinen,,"May 17, 1943 limited","May 27, 2008",,1h 12m,,,
Ghost Hour,,,"Adventure, 
                        
                        Comedy, 
                        
                        Animation",Unknown language,Nils Skapans,,,,,,7m,,,
Generation Wealth,", Lauren Greenfield, Bret Easton Ellis, Paris Cronin, Mijanou Bardot, Sheldon Greenfield, Patricia Greenfield",R (Nudity|Drug Material|Disturbing Images|Strong Sexual Content),Documentary,English,Lauren Greenfield,"Frank Evers , Lauren Greenfield",Lauren Greenfield,"Jul 20, 2018 limited","Oct 16, 2018",$236.3K,1h 46m,Amazon Studios,,
First Winter,", Kathleen McAuliffe, Sharon O'Niell, Eric Patrick Godfrey, Kevin Kennedy",,"History, 
                        
                        Drama",English,John N. Smith,John N. Smith,"Gloria Demers , Cynthia Scott",,"Jan 4, 2019",,27m,,,
Death of a Child,,,Documentary,English,"Frida Barkfors , Lasse Barkfors",Anne Köhncke,,,"Sep 7, 2017",,1h 20m,,,
City of Joel,,,Documentary,English,Jesse Sweet,"Federico Rosenzvit , Jesse Sweet",Federico Rosenzvit,"Jan 3, 2020 limited","Nov 11, 2019",,1h 23m,Samuel Goldwyn Films,,
City of Ghosts,", Matt Dillon, James Caan, Natascha McElhone, Gérard Depardieu, Sereyvuth Kem, Stellan Skarsgård, Rose Byrne, Shawn Andrews, Chalee Sankhavesa, Christopher Curry, Rob Campbell, Bernard Merklen, Jack Shearer, Kirk Fox, Kyoza, Apichart Chusakul, Gennady Fleyscher",R (Some Violence|Language),"Crime, 
                        
                        Drama",English,Matt Dillon,"Willi Bär , Michael Cerenzie , Deepak Nayar","Matt Dillon , Barry Gifford","Sep 10, 2002 original","Sep 16, 2008",$325.5K,1h 56m,"Metro-Goldwyn-Mayer, 
                        
                        United Artists","Dolby Stereo, Dolby Digital, Dolby A, Surround, Dolby SR",Flat (1.85:1)
Christmas Time with Mila and Morphle,,,"Kids & family, 
                        
                        Adventure",English,Arthur van Merwijk,,,,"Nov 13, 2020",,37m,,,
Camelot,", Richard Harris, Vanessa Redgrave, Franco Nero, David Hemmings, Lionel Jeffries, Laurence Naismith, Pierre Olaf, Estelle Winwood, Gary Marshal, Anthony Rogers, Peter Bromilow, Sue Casey, Gary Marsh, Nicolas Beauvy",G,Musical,English,Joshua Logan,Jack L. Warner,"T.H. White , Alan Jay Lerner","Oct 25, 1967 original","Jul 28, 1998",,2h 59m,"Warner Bros. Pictures, 
                        
                        Warner Home Vídeo",,
Black Boys,,,Documentary,English,Sonia Lowman,"Elliot V. Kotek , Sonia Lowman , Jon-Thomas Royston , Chad Williamson",,,"Sep 10, 2020",,1h 35m,,,
Beneath the Sea,", J.E. Williamson",,Documentary,English,J.E. Williamson,J.E. Williamson,A. Hyatt Verrill,,,,54m,,,
Beautiful Portugal,,,,,Mark Knight,Jim Wilmer,,,,,29m,,,
Author The JT LeRoy Story,", Laura Albert, Bruce Benderson, Dennis J. Cooper, Savannah Knoop",R (Some Drug Material|Sexual Content|Language Throughout|Violent Images),"Documentary, 
                        
                        Biography",English,Jeff Feuerzeig,"Jim Czarnecki , Danny Gabai , Brett Ratner , Molly Thompson",Jeff Feuerzeig,"Sep 9, 2016 limited","Dec 6, 2016",$85.6K,1h 50m,"Amazon Studios, 
                        
                        Magnolia Pictures",,
Appointment in Tokyo,,,Documentary,English,Jack Hively,,,"Dec 7, 1945 limited","Jan 1, 2012",,54m,,,
A Promise to My Father,", Israel Izzy Arbeiter, Tom Kane",,Documentary,English,Tim Gray,Tim Gray,Tim Gray,,,,1h 5m,,,
A Christmas in Royal Fashion,", Cindy Busby, Diarmaid Murtagh, Michael Paré, Adam Levy, Galyn Görg, Meredith Thomas, Jason Cook, Juliana Sada, Ellie Ricker",,"Holiday, 
                        
                        Romance",English,Fred Olen Ray,,Fred Olen Ray,,"Dec 17, 2019",,1h 30m,,,
Robinson Crusoe,", Dan O'Herlihy, Jaime Fernández, Felipe de Alba, Chel López, José Chávez, Emilio Garibay",,Adventure,English,Luis Buñuel,"Oscar Dancigers , Henry F. Ehrlich",,"Aug 5, 1954 original","Sep 14, 2004",,1h 30m,United Artists,,
Marketing the Messiah,,,Documentary,English (Australia),Cameron Reilly,Torsten Hoffmann,Cameron Reilly,,"Nov 20, 2020",,1h 43m,,,
Everything and Nothing,", Jim Al-Khalili, Carlos Frenk, Simon Schaffer, Ian Stewart",,Documentary,English (United Kingdom),Nic Stacey,,Nic Stacey,,"Jan 3, 2019",,1h 58m,,,
The Salesman,", Tom Delillo, Jean Graham",,Drama,,Redouane Elghazi,,,,"Jan 6, 2021",,11m,,,
Red Sea,,,Documentary,English,Timo Joh. Mayer,,Timo Joh. Mayer,,"Jul 11, 2017",,45m,,,
The Wild Swans,", Sigourney Weaver",,"Kids & family, 
                        
                        Fantasy, 
                        
                        Animation",English,Vladlen Barbe,,"Hans Christian Andersen , Marek Buchwald , Joshua M. Greene",,"Apr 18, 2021",,30m,,,
Razorteeth,", Ken Van Sant, Dave Fife, Brice Kennedy, Stevan Anselmi, Brian Berry",,Horror,English,"John Polonia , Mark Polonia",,,,"Mar 2, 2018",,1h 15m,,,
Little Annie Rooney,", Mary Pickford, William Haines, Walter James, Gordon Griffith, Carlo Schipa, Spec O'Donnell, Hugh Fay, Vola Vale, Joe Butterworth, Eugene Jackson, Oscar Rudolph",,"Comedy, 
                        
                        Drama",,William Beaudine,,Mary Pickford,,"Jan 28, 2003",,1h 35m,,,
Knights Of Newgate,", Robert Reina, Vee Vimolmal, Daniel Jordan, Chris Fenwick, Iain Hoskins, Charlie Alvin, Daniel Jefferson, Steve Murphy, Campbell Foster",,"Fantasy, 
                        
                        Adventure",English,WJ Carter,"Sidney Carter , WJ Carter",Sidney Carter,,"Apr 11, 2021",,1h 26m,,,Scope (2.35:1)
Fanchon The Cricket,", Mary Pickford, Jack Standing, Lottie Pickford, Gertrude Norman, Russell Bassett, Richard Lee, Jack Pickford, Alexander Gaden",,"Comedy, 
                        
                        Drama",English,James Kirkwood Sr.,,"James Kirkwood Sr. , Frances Marion","May 10, 1915 wide","Jul 18, 2019",,1h 15m,Paramount Pictures,,
One Child Nation,,R (Brief Language|Some Disturbing Content/Images),Documentary,English,"Nanfu Wang , Jialing Zhang","Christopher Clements , Julie Goldman , Carolyn Hepburn , Christoph Jörg",,"Aug 9, 2019 limited","Nov 8, 2019",$151.7K,1h 25m,Amazon Studios,Dolby Digital,Flat (1.85:1)
Truck Tunes,,,"Kids & family, 
                        
                        Musical",,James Gardner,,,,,,36m,,,
South Bureau Homicide,", Bruce Cabot, Rita Hayworth, Marc Lawrence, Richard Fiske, Moroni Olsen, Norman Willis, Gene Morgan, Robert Paige, Lee Prather, Stanley Andrews",,"Crime, 
                        
                        Drama",English,Charles C. Coleman,,Earle Snell,"Jan 3, 1939 original","Mar 8, 2019",,56m,Columbia Pictures,,
A Hug,", Flávio Bauraqui, Giuliana Maria, Flávio Porto, Mónica Moreira, Rose Ribeiro",,Drama,Portuguese (Brazil),DF Fiuza,,DF Fiuza,,"May 3, 2021",,1h 33m,,,HDTV
The End of the Road,", Edgar Ángeles, Delia Clavo",,Documentary,Spanish,Sergio García Locatelli,,,,"Dec 28, 2020",,40m,,,
Quilombo,", Antônio Pompêo, Zezé Motta, Tony Tornado, Maurício do Valle, Jofre Soares, Antonio Pitanga, Grande Otelo, João Nogueira, Vera Fischer, Daniel Filho, Jorge Coutinho",,"History, 
                        
                        Drama",Portuguese (Brazil),Carlos Diegues,Augusto Arraes,,,"May 13, 2021",,2h 0m,,,
CIRCLES vol 1,", Aaron Badie, Summer Burcy, Eric Atkins, Renee Baisten, Dazhana Baker, Shavon Ballard, Demetrius Burrows, Destyne Butler",,Romance,English,Shatifah Carter,,Shatifah Carter,,,,1h 23m,,,
Sawaal,", Shashi Kapoor, Sanjeev Kumar, Waheeda Rehman, Poonam Dhillon, Randhir Kapoor, Swaroop Sampat",,Drama,Hindi,Ramesh Talwar,,,,"Mar 27, 2017",,2h 30m,,,
Do You Remember Dolly Bell?,", Slavko Stimac, Slobodan Aligrudic, Ljiliana Blagojevic, Mira Banjac, Pavle Vuisic, Boro Stjepanovic, Nada Pani, Zivko Ristic",,Drama,English,Emir Kusturica,,"Emir Kusturica , Abdulah Sidran",,"May 24, 2005",,1h 46m,,,
Tazzeka,", Mahdi Belemlih, Ouidad Elma, Olivier Sitruk, Abbes Zahmani, Adama Diop, Khadija Bouzekri, Abdallah Ifer, Djéné Touré, Elouafi Elghoulami, Mohamed Mamou",,Comedy,French (France),Jean-Philippe Gaud,"Jean-Philippe Gaud , Axelle Hutchings",Jean-Philippe Gaud,"Dec 18, 2020 limited","Dec 18, 2020",,1h 35m,ArtMattan Films,,
Windsplitter,", Jim McMullan, I. Van Charles, Joyce Taylor, Richard Everett, Paul Lambert, Jim Siedow, Anne Layne, Tobe Hooper",PG,Drama,English,Julius D. Feigelson,David L Ford,Julius D. Feigelson,"Jun 11, 1971 limited","May 30, 2006",,1h 35m,,,
Through The Shadow,", Ana Lúcia Torre, Domingos Montagner",,,,Walter Lima Jr.,,,,,,,,,
Pounce,", Kelly Wines, Lucy Clarvis, Jordan Murphy, Matt Brewer, Sean Hayes, Phil Stone",,"Horror, 
                        
                        Mystery & thriller",English (United Kingdom),Keith R. Robinson,Keith R. Robinson,Keith R. Robinson,,"Oct 9, 2020",,1h 19m,,,
Is This A Joke?,", Russell Tovey, Olivia Hallinan, Mark Heap, Jarred Christmas, Tim Steed, Dylan Charles",,"Comedy, 
                        
                        Drama",English,Tom Edmunds,"Nick Ashdon , Daniel-Konrad Cooper",Tom Edmunds,,"Nov 17, 2016",,19m,,,
Incarnation,", Stojan Djordjevic, Daca Vidosavljevic, Sten Zendor, Dejan Cicmilovic, Tihomir Stanic, Zarko Stepanov",,"Action, 
                        
                        Mystery & thriller",Serbian,Filip Kovacevic,,"Filip Kovacevic , Masa Senicic , Ivan Stancic",,,,1h 22m,,,
The Adventures Of Tartu,", Robert Donat, Valerie Hobson, Walter Rilla, Phyllis Morris, Glynis Johns, Martin Miller, Anthony Eustrel, Percy Walsh, Friedrich Richter, John Penrose",,Mystery & thriller,English,Harold S. Bucquet,Irving Asher,,"Sep 23, 1943 limited","Jun 14, 2004",,1h 43m,,,
Konga TNT,", John Migliore, Chance Kelly, Grayson Kelly, Sébastien Godin, Steve Kasan, Ellen Mildred, Trevor Payer, Jordan Randall, Jennie Russo",,Sci-fi,English,Brett Kelly,"Trevor Payer , Brett Kelly , John Migliore",Trevor Payer,,"Mar 14, 2021",,,,,
Kuessipan,", Brigitte Poupart, Étienne Galloy, Yamie Grégoire, Sharon Ishpatao Fontaine, Cédrick Ambroise, Douglas Grégoire, Billy-Jack Jourdain",,Drama,French (Canada),,Félize Frappier,,"Mar 26, 2021 limited","Jan 28, 2021",,1h 57m,ArtMattan Films,,
Summer School,", John Laughlin, Phoebe Schmidt, Steve Rose, Verkina Flower, Craig Horrall, Nancy Herr, Lynn Kuratomi, George Barris",R,Comedy,English,Bethel Buckalew,Colleen Meeker,Bethel Buckalew,"May 5, 1978 limited",,,1h 20m,,,
Shotgun,", Perri Cummings, Paul Anthony Nelson, Ashton Peck, Anthony Borelli-Milliott, Cheryl Durongpisitkul, Chris Fielding, Adam Gilbert, Louise Griffin, Stephen Hornby, Tom Jolly, Alexey Karipoff, Ross Karipoff, Luisa Luengas, Sam Mazzini, James Rawlinson, Alex Shevchuk, James Walker",,Drama,English (Australia),Paddy Jessop,Paddy Jessop,Paddy Jessop,,"Aug 18, 2020",,1h 29m,,,
Muqaddar Ka Faisla,", Raaj Kumar, Rakhee Gulzar, Raj Babbar, Tina Ambani, Pran Sikand, Ranjeet",,"Action, 
                        
                        Comedy, 
                        
                        Drama",Hindi,Prakash Mehra,Yash Johar,"Laxmikant Sharma , Prakash Mehra , Kader Khan",,"Jan 4, 2019",,3h 30m,,,
Return To Treasure Island,", Stig Eldred, Dean O'Gorman, Jed Brophy, Simone Kessell, Nikita Schembri, Yacouba Caulibaly, Bruce Phillips, John Wraight, Duncan Smith, Gilbert Goldie, William Kircher, Jason Whyte, Jeff Szusterman",,Adventure,English,Steve LaHood,,,,"Dec 1, 2020",,1h 30m,,,
Love Is A Ball,", Glenn Ford, Hope Lange, Charles Boyer, Ricardo Montalban, Telly Savalas, Ruth McDevitt, Ulla Jacobsson, Georgette Anys, Robert Bettoni, Mony Dalmès",,Comedy,English,David Swift,Martin Poll,,,"Jun 6, 2011",,1h 51m,,,
Flight From Ashiya,", Yul Brynner, Richard Widmark, George Chakiris, Suzy Parker, Shirley Knight, Eiko Taki, Joe DeRita",,"Adventure, 
                        
                        Drama",English,Michael Anderson,Harold Hecht,,"Mar 25, 1964 limited","Jan 28, 2011",,1h 40m,United Artists,,
By Love Possessed,", Lana Turner, Efrem Zimbalist Jr., Jason Robards, George Hamilton, Susan Kohner, Barbara Bel Geddes, Thomas Mitchell, Everett Sloane, Yvonne Craig, Jean Willes, Frank Maxwell, Gilbert Green, Carroll O'Connor",,Romance,English,John Sturges,Walter Mirisch,"Charles Schnee , Ketti Frings","Jul 19, 1961 original","Jan 28, 2011",,1h 55m,United Artists,,
Terror At Blood Fart Lake,", Jesse Ames, Nicola Fiore, Billy Garberina, Travis Indovina, Andrew Baltes, Alex Kralles, Nichole LaRoche, Amber Snook, Josh Suire",,"Comedy, 
                        
                        Horror",English,Chris Seaver,"Jesse Ames , Jim Bal , Alan Dinning , Angie Hartsfield",Chris Seaver,,"Mar 31, 2017",,1h 16m,,,
Shhhh,", James Henderson, Tiana Cara, Peter Stickles, Mike Endes, Nicole Hawkins, Jonny Von Golden, Kitten Natividad, Briteny Rae Sito",,Horror,,Jason Rutherford,"Dieter Dixon , Jason Rutherford",Jason Rutherford,,"May 21, 2018",,1h 30m,,,
Realm Of The Damned,", David Vincent, Jill Janus, Dani Filth",,"Fantasy, 
                        
                        Animation",English (United Kingdom),Tom Paton,"Steve Beatty , Tom Lind",,,"Jun 5, 2020",,56m,,,
May Morning,", Jane Birkin, John Steiner, Alessio Orano",,Drama,English,Ugo Liberatore,,,,"Jan 14, 2020",,1h 41m,,,
Howl From Beyond The Fog,", Suguru Inoue, Michiyo Ishimoto, Akane Kanamori, Nana Nagao, Tomohiro Matsumoto",,"Fantasy, 
                        
                        Animation",Japanese,Daisuke Satô,,Daisuke Satô,,,,35m,,,
Crazy Love,", Jeremiah Durden, Jasmine Taylor, Debrika Wright Person, Adonis Pope Jr., Jabria Wright",,Romance,English,Adonis Pope Jr.,,Adonis Pope Jr.,,"Jun 2, 2020",,21m,,,
Raiders Of The Seven Seas,", John Payne, Donna Reed, Gerald Mohr, Lon Chaney Jr., Anthony Caruso, Henry Brandon, Skip Torgerson, Frank DeKova, William Tannen, Christopher Dark, Claire Du Brey, Howard Freeman, Anthony Warde",,Adventure,English,Sidney Salkow,Sidney Salkow,"John O'Dea , Sidney Salkow","May 27, 1953 original","Apr 5, 2017",,1h 28m,United Artists,,
Huk,", George Montgomery, Mona Freeman, John Baer",,Action,English,John Barnwell,,,,"May 17, 2017",,1h 24m,,,
Vestige,,,Documentary,English (Australia),Mark Halliday,Emma Hudson,,,,,1h 15m,,,
Virus Shark,", Danielle Donahue, James Carolus, Steve Diasparra, Jamie Morgan, Ken Van Sant",,"Horror, 
                        
                        Mystery & thriller",English,Mark Polonia,,,"Apr 13, 2021 limited","Apr 13, 2021",,1h 14m,,,
We Still Kill the Old Way,", Ian Ogilvy, Alison Doody, Christopher Ellison, Danny Hatchard, Lysette Anthony, James Cosmo, Steven Berkoff, Dani Dyer, Tony Denham, Anouska Mond, Red Madrell",,"Crime, 
                        
                        Drama",English,Sacha Bennett,"Neil Jones , Rod Smith , Jonathan Sothcott","Sacha Bennett , Dougie Brimson , Gary Lawrence",,"Nov 13, 2018",,1h 34m,,,
The Dread,,,,,Pablo Aparo,,,,,,,,,
Magic Trip,", Stanley Tucci",R (Some Nudity|Language|Drug Content),Documentary,English,"Alex Gibney , Alison Ellwood","Will Clarke , Alex Gibney , Alexandra Johnes","Alex Gibney , Alison Ellwood","Aug 5, 2011 limited","Nov 8, 2011",$153.9K,1h 30m,Magnolia Pictures,,
Jack Vs Lanterns,", Jason Liquori, Monique Parent, Michelle Prenez, Jennifer Wenger",,"Horror, 
                        
                        Sci-fi",,Jason Liquori,,,,,,1h 45m,,,
Going For Golden Eye,", Bill Blackwood, Terence J Corbett, Lee Davis, Robert Fentem, Steven Hooper, Simon Jennings",,"Comedy, 
                        
                        Drama",English (United Kingdom),Jim Miskell,Jim Miskell,Jim Miskell,,"Jan 10, 2020",,,,,
Return To Blood Fart Lake,", Meredith Host, Jason McCall, Chris Seaver, Billy Garberina, Jesse Ames, Josh Suire, Trevor Smith, Andrew Baltes",,Horror,English,Chris Seaver,"Jesse Ames , Brad Austin , Andrew Baltes , Leo Belodeau , Ron Bonk , Mike Brady , Matt Brassfield , Lee Brenn , Nicole Gerlach , Bryan Douglas , Lee Edward , Kyle Haner , Angie Hartsfield , Bobby Hartsfield , Dustin Hubbard , Eddie Johnson , Tim Kershner , Bruce Longo",Chris Seaver,,"Mar 6, 2016",,1h 12m,,,
Underground,", Mark Strange, Nathan Lewis, Joey Ansah, Leon Sua, Glenn Salvage, Beau Fowler, Liang Yang, Zara Phythian, Scott Houston, Chris Paul Smith, Fidel Nanton, Danny John-Jules, Gary Webster, Leonard Fenton, Gordon Alexander, Sophie Linfield, Dave Wang",,Action,English,Chee Keong Cheung,,Chee Keong Cheung,,"Mar 10, 2017",,1h 35m,,,
Stolen Hours,", Susan Hayward, Michael Craig, Diane Baker, Edward Judd, Paul Rogers, Robert Bacon, Paul Stassino, Jerry Desmonde, Ellen McIntosh, Gwen Nelson",,Drama,English,Daniel Petrie,Denis Holt,Jessamyn West,"Oct 2, 1963 original","Apr 4, 2011",,1h 40m,United Artists,,
Run For The Sun,", Richard Widmark, Jane Greer, Trevor Howard, Peter van Eyck, Juan García, José Antonio Carbajal, José Chávez, Guillermo Calles",,Mystery & thriller,English,Roy Boulting,Harry Tatelman,,"Jul 27, 1956 limited","May 8, 2012",,1h 39m,United Artists,,
Snake Eater,", Lorenzo Lamas, Josie Bell, Mark Roberts, Cheryl Jeans, Ben DiGregorio, Ron Palillo, Randy White",R,Action,English,George Erschbamer,John Dunning,Michael Paseornek,,"Jun 25, 2001",,1h 35m,,Stereo,
Pipeline,,,,,,,,,,,,,,
Indelible,", Charlie Matthes, Michelle Tomlinson, Mackenzie Pelletier, Paul Cram, Tess Gillis, Joe Leonardi, John Gholson, Scott Murphy, Rick Gray, Franklin McGraw",,Drama,English,Rick Amundson,Rick Amundson,Steven Hakeman,,"Mar 9, 2016",,1h 47m,,,
Strega,", Bueno, Mai Miori, Haruna Ayane, Sakurako Fujiwara, Hideki Oka, Keisaku Kimura, Amita Hachidori, Shigemori Kayanuma, Hiroyuki Keitora",,"Action, 
                        
                        Sci-fi",Japanese,Bueno,Kyle A. Carrozza,Ryou Kumaou,,,,1h 25m,,,
