Title,Genres,Runtime,Rating,Director,Age rating,Year,Cast,Amazon Prime Video,Disney Plus,Hulu,Netflix
My Girlfriend is Shobitch,"Comedy, Animation",23min,77%  5.7,Nobuyoshi Nagayama,TV-MA,(2017),", Marin Mizutani, Megumi Nakamura, Larissa Tago Takeda, Arthur Lounsbery, Natsumi Yamada, Miki Hase, Mitsuhiro Ichiki, Juri Nagatsuma, Aoi Yuki, Jun Miyamoto, Iori Nomizu, Yuki Yagi, Aya Saito",1 Season HD ,,,
Monster High Adventures of the Ghoul Squad,"Animation, Fantasy",11min,36%  7.5,,,(2017),,1 Season HD ,,,
Moesha,"Drama, Comedy, Kids & Family",21min,71%  5.8 (3k),,TV-14,(1996),", Brandy Norwood, William Allen Young, Marcus T. Paulk, Lamont Bentley, Shar Jackson, Ray J",6 Seasons ,,6 Seasons HD ,
Mega Transports,Documentary,44min,38%  6.8,Klaus Proff,,(2017),,,,,
Meerkat Manor,"Drama, Documentary",21min,87%  8.3 (1k),,TV-14,(2005),", Bill Nighy, Stockard Channing, Sean Astin",,,,
Martha Speaks,"Animation, Comedy, Kids & Family",27min,80%  6.6 (1k),,TV-Y,(2008),", Alex Ferris, Tabitha St. Germain, Madeleine Peters",1 Season ,,,
MADE IN ABYSS,"Action & Adventure, Science-Fiction, Drama, Animation, Fantasy",26min,93%  8.4 (11k),,TV-MA,(2017),,1 Season HD ,,,
LOVE and LIES,"Drama, Animation, Romance",23min,69%  6.1,,TV-14,(2017),", Ryota Osaka, Yui Makino, Kana Hanazawa, Shinnosuke Tachibana",1 Season HD ,,,
Lorena,"Crime, Drama, Documentary, Romance",1h 3min,76%  7.2 (2k),,TV-MA,(2019),", Lorena Bobbitt, John Wayne Bobbitt, Dr. James Sehn, Sindi Leo, John Tillman, Dani Harris",1 Season HD ,,,
Lore,"Mystery & Thriller, Drama, Documentary, Horror",42min,76%  6.7 (5k),,TV-14,(2017),", Aaron Mahnke",2 Seasons 4K ,,,
Looped,"Fantasy, Science-Fiction, Animation, Comedy, Kids & Family",15min,34%  5.1,,TV-Y,(2016),", Kevin Duhaney, Lyon Smith, Denise Oliver, Adam Cawley, Stacey DePass, Seán Cullen, Darren Frost, Athena Karkanis, Mark Robert Edwards, Scott Gorman",,,,
Legendary Cities,"Documentary, Kids & Family, War & Military",25min,44%,,,(2014),,1 Season HD ,,,
Learn with Ted The Train,"Animation, Kids & Family",6min,39%  8.0,,,(2016),,1 Season HD ,,,
Land of the Lustrous,"Science-Fiction, Action & Adventure, Animation, Fantasy",24min,86%  7.9 (1k),Takahiko Kyougoku,TV-14,(2017),", Tomoyo Kurosawa, Rie Kugimiya, Mariya Ise, Ayane Sakura, Ai Kayano, Mamiko Noto, Saori Hayami, Ayahi Takagaki, Mutsumi Tamura, Yumi Uchiyama, Himika Akaneya, Junko Minagawa, Maaya Uchida, Kanae Ito, Ari Ozawa, Atsumi Tanezaki, Ryo Hirohashi, Jouji Nakata, Hitomi Nabatame, Houko Kuwashima, Sayaka Harada, Reina Ueda, Yuko Sanpei",1 Season HD ,,,
Knock Knock Ghost,Comedy,49min,37%  6.6,,,(2014),,1 Season HD ,,,
Kashmir The Story,Documentary,22min,4%,,,(2018),,,,,
Inside Borussia Dortmund,"Documentary, Sport",1h 21min,72%  7.2,Aljoscha Pause,,(2019),,1 Season HD ,,,
Informer,"Drama, Crime, Mystery & Thriller",59min,80%  7.8 (6k),,TV-MA,(2018),", Nabhaan Rizwan, Bel Powley, Paddy Considine, Roger Jean Nsengiyumva",1 Season 4K ,,,
I Was Possessed,"Documentary, Drama, Horror, Reality TV",42min,59%  6.0,,TV-14,(2015),,,,,
Hunting ISIS,"Documentary, War & Military, Drama",42min,85%  8.3,,TV-MA,(2018),,,,,
HomeMADE,Comedy,45min,4%,,,(2009),,,,,
Haunted History,"Documentary, Science-Fiction, History",44min,85%  8.0,,,(1998),", John Glover",,,,
Guess How Much I Love You,"Animation, Crime, Kids & Family",12min,46%  8.1,,TV-Y,(2012),,2 Seasons HD ,,,
Grimoire of Zero,"Animation, Science-Fiction, Action & Adventure, Drama, Comedy, Fantasy",24min,75%  6.9,,TV-14,(2017),", Yumiri Hanamori, Tsuyoshi Koyama, You Taichi, Takehito Koyasu, Masayuki Katou",1 Season HD ,,,
Gloriavale,,50min,4%,,,(2012),,1 Season HD ,,,
Glee,"Drama, Comedy, Music & Musical",49min,75%  6.8 (149k),,TV-14,(2009),", Lea Michele, Chris Colfer, Matthew Morrison, Jane Lynch, Dot-Marie Jones, Chord Overstreet, Darren Criss, Amber Riley, Kevin McHale",,6 Seasons HD ,,
Focus Forward,Sport,3min,1%,,,(2013),,1 Season HD ,,,
Escape at Dannemora,"Drama, Crime, Mystery & Thriller",1h 2min,84%  7.9 (24k),,TV-MA,(2018),", Benicio del Toro, Paul Dano, Patricia Arquette, David Morse, Eric Lange, Bonnie Hunt, Gregory Dann",,,,
Engineering Giants,Documentary,59min,44%  8.1,,,(2012),,1 Season HD ,,,
Down East Dickering,Reality TV,43min,40%  7.2,,TV-PG,(2014),,,,,
Dogs with Jobs,Documentary,24min,89%  8.0,,TV-G,(2000),,1 Season ,,,
Die Trying,"Comedy, Documentary, Reality TV",40min,77%  6.7 (1k),,,(2018),", Dave B. Mitchell",1 Season HD ,,,
Design Squad,Kids & Family,27min,46%  8.4,,,(2007),", Thomas Cotter, Giselle Eng, Krishana House, Joey Nguyen, Natasha Sivananjaiah, Michael Spieler, Noah Tovares, Kim Zalatan, Leah French, Tomas Gulo, Trejonda Moment, Nicholas Palumbo, Dewey Hahn, Kim Gaughan, Deysi Melgar, Jason George",1 Season ,,,
Cyberchase,"Comedy, Kids & Family, Science-Fiction, Animation",25min,77%  6.9 (2k),,TV-Y,(2002),", Gilbert Gottfried, Christopher Lloyd, Novie Edwards, Jacqueline Pillon, Annick Obonsawin, Bianca DeGroat, Kristina Nicoll, Rob Tinkler",1 Season ,,,
Creative Galaxy,"Kids & Family, Science-Fiction, Animation",23min,76%  5.5,,TV-Y,(2013),,1 Season HD ,,,
Counting Cars,Reality TV,25min,73%  7.0 (2k),,TV-PG,(2012),", Danny Koker, Ryan Evans, Kevin Mack, Horny Mike, Shannon Aikau",,,1 Season HD ,
Construction Squad of Car City,"Kids & Family, Animation",10min,43%  8.9,,,(2016),,1 Season HD ,,,
Constitution USA with Peter Sagal,"Documentary, History",53min,40%  7.2,,TV-PG,(2013),", Peter Sagal",,,,
Celebrity House Hunting,Reality TV,21min,38%  6.8,,,(2012),,,,,
Celebrity Home Raiders,Reality TV,20min,1%,,TV-14,(2014),,,,,
Car Patrol of Car City,"Animation, Kids & Family",11min,31%  6.5,,,(2016),,3 Seasons HD ,,,
Cajun Pawn Stars,Reality TV,21min,55%  4.5,,TV-14,(2012),,,,,
Bring It,"Reality TV, Drama, Music & Musical",42min,82%  6.4,,TV-PG,(2014),", Dianna Williams",,,1 Season HD ,
Bread Barbershop,"Animation, Comedy, Fantasy",11min,34%  7.0,,TV-Y,(2020),,1 Season HD ,,,
Bottom,"Comedy, Made in Europe",30min,88%  8.3 (13k),,TV-MA,(1991),", Adrian Edmondson, Rik Mayall",3 Seasons ,,,
Born Behind Bars,Reality TV,42min,47%  8.6,,TV-14,(2017),,,,1 Season HD ,
Bo on the Go,Animation,22min,57%  4.3,,,(2007),,,,,
Barter Kings,Reality TV,32min,79%  4.9,,TV-14,(2012),,,,,
Bananas in Pyjamas,"Comedy, Animation, Kids & Family, Fantasy",8min,58%  5.5 (2k),,TV-Y,(1992),", Ken Radley, Nicholas Opolski, Sandie Lillingston, Shane McNamara",1 Season ,,,
Bali,Animation,17min,78%  6.8,,TV-G,(2006),,1 Season ,,,
Ax Men,"Reality TV, Documentary",44min,63%  5.6 (1k),,TV-14,(2008),,,,2 Seasons HD ,
Animal Mechanicals,"Animation, Kids & Family",12min,61%  5.7,,,(2008),", Jim Fowler, Lenore Zann",,,,
American Takedown,Documentary,41min,42%  7.7,,TV-14,(2015),,,,,
American High School,Documentary,46min,35%  7.3,,,(2016),,1 Season HD ,,,
Almost Royal,Comedy,22min,78%  7.2 (1k),Christopher Faith,TV-MA,(2014),", Ed Gamble, Amy Hoggart, Gemma Whelan",2 Seasons HD ,,,
Alien Monkeys,Animation,9min,46%  8.5,,,(2015),,1 Season HD ,,,
Alias,"Action & Adventure, Drama, Crime, Science-Fiction, Mystery & Thriller",44min,77%  7.6 (51k),,TV-14,(2001),", Jennifer Garner, Michael Vartan, Victor Garber, Ron Rifkin, Carl Lumbly, Kevin Weisman, Rachel Nichols, Amy Acker",,5 Seasons HD ,,
Alaska Off-Road Warriors,,42min,4%,,,(2014),,,,,
60 Days In,Reality TV,46min,78%  7.6 (2k),,,(2016),", Reginald Scandrett",,,6 Seasons HD ,
24 to Life,Drama,40min,78%  6.9,,TV-14,(2016),,,,,
Roger,Animation,6min,4%,,,(2019),,,,,
Deadly Game,Drama,1h 43min,32%  5.5,Michelle Bonev,,(2013),", Marco Falaguasta, Gaetano Aronica, Anita Zagaria, Claudio Alfonsi, Tatyana Lolova, Marta Yaneva, Fabio Fulco, Lando Buzzanca, Michelle Bonev, Federica Sabatini, Marco Marzocca, Nadia Konakchieva, Claudio Vanni, Martina Colombari",,,,
Last Secrets of the Third Reich,Documentary,46min,39%,,TV-14,(2011),,,,,
Baahubali The Lost Legends,"Action & Adventure, Animation",22min,87%  7.4,,,(2017),,,,,
Canticos,Animation,3min,4%,,,(2018),,3 Seasons HD ,,,
Billions,Drama,57min,89%  8.4 (95k),,TV-MA,(2016),", Paul Giamatti, Maggie Siff, David Costabile, Condola Rashad, Asia Kate Dillon, Corey Stoll, Daniel Breaker",4 Seasons HD ,,,
Britannia,"Science-Fiction, Action & Adventure, Drama, Fantasy, History, Made in Europe",45min,77%  6.8 (16k),,TV-MA,(2018),", Kelly Reilly, David Morrissey, Nikolaj Lie Kaas, Zoë Wanamaker, Stanley Weber, Eleanor Worthington-Cox, Hugo Speer, Annabel Scholey, Julian Rhind-Tutt, Ian McDiarmid",2 Seasons 4K ,,,
Vip Pets,,7min,41%,,,(2020),,1 Season HD ,,,
El Cid,"Action & Adventure, Drama, History, War & Military",59min,77%  6.7 (3k),Marco Castillo,TV-14,(2020),", Jaime Lorente, Francisco Ortiz, Alicia Sanz, Jaime Olías, Lucía Guerrero, Pablo Álvarez, Adrián Salzedo, David Castillo, Lucía Díez, Juan Echanove, Elia Galera, Nicolás Illoro, Zohar Liba, Sarah Perles, Amparo Alcaraz, Álvaro Rico",2 Seasons 4K ,,,
Funny Little Stories,Comedy,28min,4%,,,(2021),", Rafael Portugal, Gregório Duvivier, Samantha Schmütz",1 Season 4K ,,,
KUNTERGRAU,Drama,20min,61%  6.8,,,(2015),,3 Seasons HD ,,,
LuLaRich,Documentary,46min,75%  7.5 (3k),"Julia Willoughby Nason ,  Jenner Furst",TV-14,(2021),", DeAnne Stidham, Mark Stidham, Stella Lemberg, Lauren Covey Carson, Derryl Trujillo, Roberta Blevins, Iliana Estarellas, Courtney Harwood, Sam Schultz, Becca Peter, Kenny Brady, Jordan Brady, Jill Drehmer, LaShae Kimbrough, Jill Filipovic, Tiffany and Paul Ivanovsky",1 Season 4K ,,,
Victoria Small,"Comedy, Drama, Romance",48min,69%  5.8,,,(2019),", Lola Loyacono, Natalie Pérez, Mariana Genesio Peña, Julieta Díaz, Mica Suárez",1 Season HD ,,,
Hideaki ANNO and Hitoshi MATSUMOTO fireside chat,Documentary,41min,39%,,,(2021),", Hideaki Anno, Hitoshi Matsumoto",,,,
Fernando,"Documentary, Sport",48min,79%  7.5,,,(2020),", Fernando Alonso",2 Seasons 4K ,,,
YoYo,,7min,4%,,,(2017),,,,,
Jungle Beat,"Kids & Family, Animation, Comedy",6min,45%  8.0,,TV-G,(2003),", Gavin Peter, Dorian Burstein, Irene Van Niekerk, Davina Jogi, Nicola Jackman, Rodney Newman, Matthew Gair, Brent Dawes, Adam Neill, Leon Clingman, Wesley Lerwill, Charles Tertiens, Tinarie Van Wyk-Loots, Roger Hawkins",,,,
The Kings,"Documentary, Sport",55min,80%  8.1,Mat Whitecross,TV-MA,(2021),", Roberto Durán, Marvelous Marvin Hagler, Thomas Hearns, Sugar Ray Leonard",,,,
Uprising,Documentary,59min,72%  7.7,"Steve McQueen ,  James Rogan",TV-14,(2021),", Peter Bleksley, Alex Wheatle, George Rhoden, Leila Howe",1 Season 4K ,,,
Rafa Nadal Academy,Documentary,29min,53%  7.6,,,(2021),", Rafael Nadal",1 Season HD ,,,
Preacher,"Science-Fiction, Drama, Fantasy, Horror",44min,85%  7.9 (76k),,TV-MA,(2016),", Dominic Cooper, Ruth Negga, Joseph Gilgun, Ian Colletti, Graham McTavish, Pip Torrens",1 Season HD ,,,
Srugim,Drama,36min,78%  8.2,,TV-14,(2008),", Yael Sharoni, Tali Sharon, Sharon Fauster, Amos Tamam, Ohad Knoller, Zohar Shtrauss",3 Seasons ,,,
Suspense,"Drama, Mystery & Thriller, Horror",30min,65%  7.5,,,(1949),", Paul Frees",,,,
Roadkill Garage,"Documentary, Comedy, Reality TV",28min,99%  8.5,,TV-PG,(2016),", David Freiburger, Steve Dulcich",,,,
Killer Kids,"Mystery & Thriller, Documentary, Crime",43min,73%  7.0,,TV-14,(2011),,,,,
Cities of the Underworld,"Documentary, History",43min,86%  7.9,,TV-PG,(2007),", Don Wildman",,,,
This is Us,"Comedy, Drama, Romance",43min,93%  8.7 (146k),,TV-14,(2016),", Milo Ventimiglia, Mandy Moore, Sterling K. Brown, Chrissy Metz, Justin Hartley, Susan Kelechi Watson, Chris Sullivan, Jon Huertas",,,6 Seasons HD ,
The Exorcist,"Mystery & Thriller, Drama, Horror",43min,84%  7.9 (29k),,TV-14,(2016),", Alfonso Herrera, Ben Daniels, John Cho, Li Jun Li, Kurt Egyiawan, Brianna Hildebrand, Hannah Kasulka, Beatrice Kitsos",,,2 Seasons HD ,
Startup,"Drama, Mystery & Thriller, Crime, Documentary",44min,83%  7.8 (29k),,TV-MA,(2016),", Adam Brody, Edi Gathegi, Otmara Marrero, Ron Perlman, Martin Freeman, Addison Timlin",,,,
Supermansion,"Comedy, Animation",22min,82%  7.6 (1k),,TV-MA,(2015),", Bryan Cranston, Seth Green, Keegan-Michael Key, Jillian Bell, Tucker Gilmore, Tom Root, Zeb Wells, Chris Pine",3 Seasons HD ,,,
Pan y Circo,,45min,67%  6.7,"Gregory Allen ,  Diego Luna ,  Santiago Maza",TV-MA,(2020),", Laura Flamand, Julio Frenk, Sarah Gilbert, Edo Kobayashi, Zoé Robledo, Verónica Guerrero, Angélica Maldonado, Álvaro Mena, Citlalli Hernández Mora, Jin Hee Park Shim, Jesus Silva Herzog, Eun Hee Shim Sung, Martin Caparros, Carolina Elias, Inés Hernand, Maite Rico, José Andrés Rojo, Glauce Santiago Sena, Gabriel Wiener, Diego Luna, Ricardo Baruch, Hugo Cruz, Juan Ramón de la Fuente, María de Jesús Patricio Martínez, Michelle Bachelet, Elisa Loncón, Jorge Ramos, Jorge Drexler, Niño de Elche, Álvaro Hernández, Javier Lafuente, Bárbara Lennie, Lola Pons, Jorge Rueda, Roberto Ruiz, Joaquín Sabina, Fernando Trueba, Jorge Volpi, Diego Guerrero",2 Seasons 4K ,,,
Storm Rising,Documentary,43min,45%,"Kim Woodard ,  Greg Henry ,  Isaac Holub ,  Lisa Bloch ,  Drew Pulley ,  Brian V. O’Toole ,  Alan Eyres ,  George Kralovansky",,(2021),", Reed Timmer, Mike Theiss",,1 Season HD ,,
The Wizard of Paws,"Kids & Family, Reality TV",23min,52%  9.4,,,(2020),", Derrick Campana",,2 Seasons HD ,,
Star Wars Galaxy of Sounds,Science-Fiction,7min,71%  7.0,,TV-PG,(2021),,,1 Season HD ,,
The Hatcher Family Dairy,Documentary,44min,50%  9.1,,,(2021),,,1 Season HD ,,
Shark Attack Files,Documentary,42min,85%  6.1,,TV-14,(2021),", Simon Barritt",,2 Seasons HD ,,
Zenimation,"Science-Fiction, Animation, Kids & Family",10min,82%  7.5,,TV-G,(2020),,,2 Seasons HD ,,
Star Wars Vehicle Flythroughs,Science-Fiction,4min,70%  6.2,,TV-G,(2021),,,1 Season 4K ,,
Earth Moods,Documentary,30min,87%  8.0,,TV-G,(2021),,,1 Season 4K ,,
Marvel Studios ASSEMBLED,Documentary,58min,84%  7.9 (2k),,TV-14,(2021),,,,,
Disney Channel Games 2008,"Kids & Family, Reality TV",22min,89%  6.9,,TV-G,(2008),,,1 Season HD ,,
Dinosaurs,"Science-Fiction, Comedy, Kids & Family, Fantasy",24min,84%  7.5 (19k),,TV-G,(1991),", Stuart Pankin, Jessica Walter, Jason Willinger, Sally Struthers, Kevin Clash",,4 Seasons ,,
